Description,DamageType,DamageDice,MonsterId,ActionId
The aboleth makes three tentacle attacks.,,,1,1
Melee Weapon Attack: +9 to hit reach 10 ft. one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute the diseased creature's skin becomes translucent and slimy the creature can't regain hit points unless it is underwater and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.,Bludgeoning,2d6+5,1,2
Melee Weapon Attack: +9 to hit reach 10 ft. one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute the diseased creature's skin becomes translucent and slimy the creature can't regain hit points unless it is underwater and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed.,Acid,1d12,1,2
Melee Weapon Attack: +9 to hit reach 10 ft. one target. Hit: 15 (3d6 + 5) bludgeoning damage.,Bludgeoning,3d6+5,1,3
"The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions and the aboleth and the target can communicate telepathically with each other over any distance.
Whenever the charmed target takes damage the target can repeat the saving throw. On a success the effect ends. No more than once every 24 hours the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",,,1,4
Melee Weapon Attack: +2 to hit reach 5 ft. one target. Hit: 2 (1d4) bludgeoning damage.,Bludgeoning,1d4,2,5
The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,3,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.,Piercing,2d10+6,3,6
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage.,Acid,1d8,3,6
Melee Weapon Attack: +11 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage.,Slashing,2d6+6,3,7
